,Mean,SD,Lower,Upper
Unnamed: 0,2499.5,1443.5200033252052,-329.74721748054117,5328.747217480541
bp1,0.13968928658391438,0.025713623972933138,0.08929150968495969,0.19008706348286908
bp3,1.7000955809099199,0.22543945824422312,1.2582423620570211,2.1419487997628184
bp4,0.12474147764055121,0.04690868184060716,0.032802150670713126,0.2166808046103893
bq1,-0.06055734763150058,0.047319157656952264,-0.15330119241789975,0.032186497154898595
bq8,3.2031550471516392,0.4120234236549353,2.3956039760010777,4.010706118302201
bq9,2.8808138155836307,0.33773195744497525,2.218871342563265,3.5427562886039965
bst,0.39203922048037154,0.12636101928165674,0.14437617363855298,0.6397022673221902
