,bp0,bp1,bp3,bp4,bq0,bq1,bq8,bq9
0,-1.0236683189438187,0.1268286436833301,1.8795590387647025,0.12713902985682315,-0.40306488292505505,-0.10329836265508496,1.981247412171632,2.9979417581536154
1,-1.0236683189438187,0.1268286436833301,1.5335808584062711,0.12713902985682315,-0.40306488292505505,-0.10607586730149662,1.981247412171632,2.9668931575121205
2,-1.0450887020077904,0.1268286436833301,1.5335808584062711,0.1996007232792578,-0.40306488292505505,-0.03988453762720853,2.4061789679417984,2.9668931575121205
3,-1.0450887020077904,0.1268286436833301,1.5576926322481481,0.1996007232792578,-0.40306488292505505,-0.03988453762720853,2.4061789679417984,2.8022099547320387
4,-1.0450887020077904,0.1421691382831299,1.5381859169290097,0.17997844181869133,-0.40306488292505505,-0.03988453762720853,2.7879143772575006,2.931465224909192
5,-1.0450887020077904,0.15004015356693903,1.3952574046666202,0.07610661539555433,-0.40306488292505505,-0.12161230629407233,3.3792766314698652,2.8328725992407575
6,-1.0450887020077904,0.15004015356693903,1.647984432184485,0.07610661539555433,-0.40306488292505505,-0.1095152931148831,3.175850138687961,3.069500675490873
7,-1.0450887020077904,0.15873139399839495,1.647984432184485,0.12117259867728916,-0.40306488292505505,-0.08753411658046742,2.9102122749581825,3.2512449254665716
8,-1.0450887020077904,0.16542280820532468,1.647984432184485,0.12117259867728916,-0.40306488292505505,-0.0787190638386326,2.9102122749581825,3.2512449254665716
9,-1.0450887020077904,0.17988805182394926,1.7142332588765619,0.12117259867728916,-0.40306488292505505,-0.0787190638386326,3.051350067026065,2.927755135655949
10,-1.0450887020077904,0.16530131803964945,1.5975953038759139,0.12117259867728916,-0.3839501713489716,-0.0787190638386326,3.051350067026065,2.927755135655949
11,-1.0450887020077904,0.16530131803964945,1.5691425330535829,0.12117259867728916,-0.40125592062900894,-0.1492557810352714,3.051350067026065,3.6113573050113263
12,-1.0450887020077904,0.1406111468965329,1.5691425330535829,0.12117259867728916,-0.40125592062900894,-0.1492557810352714,3.746399322236066,3.183251471046676
13,-1.0450887020077904,0.14380644671127416,1.500524582216499,0.12117259867728916,-0.40125592062900894,-0.1492557810352714,3.746399322236066,3.285502747069975
