i,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60
0,-0.761206901,0.400157208,0.333674327,1.133769442,-0.205158264,-0.97727788,-0.877858418,-1.100619177,-0.103218852,0.410598502,-0.683727859,-0.887785748,0.530355467,-0.6871727,-0.845205641,-1.048552965,-1.420017937,-0.509652182,-0.438074302,-0.854095739,-0.636995647,-0.895466561,0.386902498,-0.74216502,-0.352249846,-1.454365675,-0.362741166,-0.813146282,-1.726282602,-1.630198347,-0.298092835,0.37816252,-0.887785748,0.402341641,-0.347912149,-0.311552532,0.056165342,-1.165149841,-0.387326817,-0.302302751,-1.536243686,-1.420017937,-0.200758069,-0.403176947,-0.509652182,-0.438074302,-1.25279536,-0.37528495,-0.638730407,-1.270484998,-0.895466561,-0.447128565,-0.747454811,-1.094911846,-0.028182228,-0.268003371,-0.953700602,-1.37311732,-0.634322094,-0.362741166
1,-0.761206901,-1.354230542,0.058270689,1.133769442,-0.205158264,-0.97727788,-0.701627667,-1.100619177,-0.103218852,-0.455714773,-0.683727859,-0.887785748,0.530355467,-0.6871727,-0.845205641,-1.048552965,2.15E-05,-1.688717622,-0.438074302,-0.854095739,-0.636995647,-0.895466561,0.386902498,-0.74216502,-0.352249846,-1.454365675,-0.362741166,-0.813146282,-1.726282602,-1.630198347,-0.384014659,0.37816252,-0.887785748,-0.063524379,-0.347912149,-0.311552532,0.047894251,-1.145338056,-0.387326817,-0.998889774,-1.536243686,-1.420017937,-0.200758069,-0.403176947,-0.509652182,-0.438074302,-1.25279536,-0.37528495,-0.638730407,-1.270484998,-0.895466561,-0.447128565,-0.747454811,-1.094911846,-0.028182228,-0.268003371,-0.699168404,-1.37311732,-0.634322094,-0.362741166
2,-0.761206901,-1.354230542,0.058270689,-0.56080987,-0.205158264,-0.704059405,-0.701627667,-1.100619177,-0.103218852,-0.455714773,-0.694597271,-0.887785748,-1.39576555,-0.6871727,-0.845205641,-0.989612179,-0.965051086,-1.688717622,-0.438074302,-0.854095739,-0.636995647,-0.895466561,0.386902498,-0.74216502,-0.352249846,-1.454365675,-1.04882343,-0.813146282,-0.633545994,-0.43551628,-0.376576138,-1.33226622,-0.887785748,-0.063524379,-0.347912149,-0.311552532,0.047894251,-1.145338056,-0.387326817,-0.998889774,-1.536243686,-1.420017937,-0.200758069,-0.872187481,-0.509652182,-0.438074302,-1.25279536,-0.37528495,-0.638730407,-1.270484998,-0.895466561,-0.447128565,-0.747454811,-1.094911846,-0.028182228,-0.268003371,-0.699168404,-1.37311732,-0.634322094,-0.362741166
3,-1.147476633,-1.354230542,-0.087986928,-1.156816261,-0.205158264,-0.704059405,-0.701627667,-1.100619177,-1.208948159,-0.455714773,-1.112812154,-0.887785748,-1.39576555,-0.6871727,-0.845205641,-0.989612179,-0.965051086,-1.347460295,-0.438074302,-0.854095739,-0.636995647,-0.895466561,0.386902498,-0.74216502,-0.352249846,-1.454365675,-1.04882343,-0.813146282,-0.7322647,-0.43551628,-0.647644533,-1.33226622,-0.887785748,-0.063524379,-0.347912149,-0.905438137,0.047894251,-1.097121884,-0.528196069,-1.07529009,-1.536243686,-1.420017937,-0.200758069,-0.872187481,-0.509652182,-0.49581852,-1.25279536,-0.37528495,-0.638730407,-1.270484998,-0.895466561,-0.447128565,-0.747454811,-1.094911846,-0.028182228,-0.268003371,-0.699168404,-1.37311732,-0.634322094,-0.362741166
4,-1.147476633,-1.354230542,-0.087986928,-1.156816261,-0.205158264,-0.980607885,-0.856853155,-1.100619177,-1.208948159,-0.455714773,-1.112812154,-0.887785748,-0.63157163,-0.6871727,-0.845205641,-0.989612179,-0.965051086,-1.347460295,-0.477731417,-0.854095739,-0.636995647,-0.895466561,-0.100614346,-0.74216502,-0.689565232,-1.454365675,-1.04882343,-0.813146282,-0.7322647,-0.43551628,-0.647644533,-1.33226622,-0.887785748,-1.877740884,-0.347912149,-0.905438137,-0.427031386,-1.097121884,-0.528196069,-1.07529009,-1.536243686,-1.420017937,-0.200758069,-0.872187481,-0.509652182,-0.49581852,-1.25279536,-0.593402771,-0.638730407,-1.270484998,-0.895466561,-0.447128565,-0.747454811,-1.094911846,-0.028182228,-0.268003371,-0.699168404,0.045955224,-0.487132646,-0.362741166
