,w=0.1 Bayes Factor,w=0.1 Bayes Factor with Norm,w=0.1 bf*correction,w=0.3 Bayes Factor,w=0.3 Bayes Factor with Norm,w=0.3 bf*correction,w=0.5 Bayes Factor,w=0.5 Bayes Factor with Norm,w=0.5 bf*correction,w=0.7 Bayes Factor,w=0.7 Bayes Factor with Norm,w=0.7 bf*correction,w=0.9 Bayes Factor,w=0.9 Bayes Factor with Norm,w=0.9 bf*correction
0,,,,12.648496246374215,0.5744031333143916,37.73608948713551,0.40758349128494126,0.018509491557022105,1.2213137179061793,1.994656579287689,0.09058286192379975,6.048092997611302,272.6519653738892,12.381878459266098,840.1310685303687
1,1638.3418039119724,74.40162429401471,4948.033114624874,3.476245086236034,0.15786588625308903,10.4317685794245,0.11068935199911545,0.005026709054924795,0.33518205270243734,0.47391821316340704,0.021521934408120072,1.4352874621162282,523787.74807514535,23786.64766353534,1587739.3306324722
2,8656.31420241887,393.1071254615417,25891.731654207204,0.2730558041797069,0.01240021789431808,0.821243873567386,0.110440744130277,0.00501541908526786,0.33587489660588443,0.8400637541469935,0.038149614244002025,2.5193753247337214,2697.890168025491,122.51864060885175,8205.093340856783
3,,,,1.461132057210934,0.06635404047249087,4.3652517135448425,0.12343272578556308,0.005605420839262817,0.36924421496154564,0.4812894404022203,0.021856682186818306,1.4596814622846201,53.54784525898353,2.4317554830133545,163.22857951181976
4,822.0479122964089,37.331465129142714,2501.227232925772,13.510761872228716,0.6135609958454493,40.266656614711586,0.43241438216694394,0.019637130862737887,1.3161476445674458,0.2652759761968899,0.012046914427808529,0.8029176167725244,18.560078489432996,0.8428644031062111,54.963712497817674
5,178.9042644200955,8.124536549209722,537.1005497054678,0.34949601428342536,0.01587157886399641,1.0582792212769483,0.22104413748391208,0.01003822452079493,0.6580943661203421,0.9672407839925256,0.04392507426754688,2.868279557659717,369.86710183087325,16.796686188088795,1130.4268619530803
6,61529.03017006996,2794.2031235226955,184753.9636150594,1.5161484183128624,0.06885248531407134,4.584185974186349,0.10813949479205368,0.004910912999748637,0.32018649363431245,0.6183026807245472,0.02807883168298964,1.848721754153474,23.305794272619146,1.058380458341876,69.62914287370064
7,1047.3978029206924,47.565225786956034,3152.33760369538,14.590795441325222,0.6626083018721711,43.96705981673907,0.1075577007319751,0.004884492125318712,0.3195529394211454,0.7001519585519931,0.031795833350842614,2.1068864919950014,1271.731008234562,57.752815958055265,3898.218144114138
8,1070.886787646762,48.631925429523896,3238.4246022887664,0.7428795783171567,0.033736212522731235,2.234344621241786,0.12759193315960227,0.0057943019284624345,0.37825994503164667,2.161948839071694,0.09818006528516561,6.594712930084445,0.7100839175938413,0.0322468710301417,2.146436490617931
9,197.59410779823884,8.973293934154844,591.3608342220424,6109.304423387783,277.4403798531667,18403.645511536954,0.1266291766172335,0.00575058049598669,0.382101486121469,0.4482077140203341,0.020354349662930184,1.340599416427759,10.499811431474418,0.4768254239849295,31.408607644232532
10,167.65679665535836,7.6137579870727725,502.3350650265729,0.6846384733297901,0.031091323158746517,2.0737682430459206,0.11157314316727333,0.00506684445175752,0.3380927053010707,2.8484803320755727,0.12935735569338133,8.573344163642489,186.3809850399936,8.464075073579123,557.5224715746001
11,178.9042644200955,8.124536549209722,538.344884293106,0.361618542273927,0.016422096326768446,1.0795439798459348,0.34698427924309705,0.015757514041655676,1.0443610247487445,369.86710183087325,16.796686188088795,1106.384040224264,4836.242640595533,219.6271297485709,14717.490647149903
12,,,,9.710445273804636,0.44097812755806454,29.261130145485048,0.15124630241584922,0.006868512139123541,0.45170306185222875,0.4574119633693824,0.020772340036087456,1.3634781570945076,0.47650725183268416,0.021639509801663886,1.4052307232872483
13,185.6653393868514,8.431575628783419,559.9193283558238,10.207770884859741,0.46356305652536645,30.98822371590498,0.13978798337683354,0.00634815823852344,0.4180844936034785,2.654446744543191,0.12054575481404509,8.060564084994297,272.6519653738892,12.381878459266098,840.1310685303687
14,,,,0.1075577007319751,0.004884492125318712,0.3210313171798237,0.12431343611428179,0.005645416326671321,0.3722027496851588,6.216348827841845,0.2823015617774458,18.92751305798383,53.54784525898353,2.4317554830133545,165.10167972615903
15,4.575484238020078,0.2077853708105997,13.827748127714843,0.26665723801986757,0.012109641340446333,0.7934852385651257,0.10762232775770798,0.004887427016973394,0.3256760694268576,0.17493762284145198,0.007944400404396373,0.5227098042810105,14.183037503535422,0.644090888217768,43.9478521648969
16,,,,3.50896911072597,0.15935197454655434,10.40122641640236,0.11277331639044748,0.005121347631146049,0.33562479164153347,0.7383270743216008,0.033529470748172606,2.221437043631846,516.6082827204987,23.460608321395096,1524.1447696990267
17,,,,0.10770927481748568,0.004891375522993079,0.32918289233485093,0.17824803910669051,0.008094735546083514,0.531261980137213,0.12600599809373667,0.005722280238822648,0.3806235906617767,10.499811431474418,0.4768254239849295,31.408607644232532
18,39.96020282847,1.8147031287716522,120.40215346608805,223.75603480590067,10.161379264934865,669.8987185273212,0.1182805165865504,0.0053714447958060725,0.3556496870744312,7.730994718430197,0.3510858131595114,23.36779441893433,2.0025345621369923,0.09094062287377307,1e-07
19,237.13350679471083,10.768887199200234,718.8763315885883,0.10747083356151622,0.004880547247293544,0.3182044388654563,0.118049338184875,0.0053609463463706285,0.35933362604096414,0.7383270743216008,0.033529470748172606,2.2457455598741096,18.560078489432996,0.8428644031062111,56.231110367387046
20,1286.4283466626202,58.420262671088736,3870.0577705386695,0.3780463065473654,0.017168126454635873,1.133444215071673,0.25803264352096456,0.01171797469429019,0.7871694560084862,0.8695962470138966,0.03949076627558813,2.5664072030088754,19.435541883735965,0.8826216127376587,58.600336502682616
21,182.17773968382068,8.273194098034935,543.25068934662,0.383025905637978,0.017394263796544584,1.1519703099490954,0.11085760229982423,0.0050343497655694226,0.33684976628542534,0.17631976640816147,0.008007167359451273,0.5316252556795809,3386.403362499521,153.78592555172014,10182.342071923147
22,1214.194753724807,55.13993580014311,3648.0380260739466,0.1463478545995147,0.006646060100614524,0.4357099229993475,0.11723712847115232,0.005324061660999083,0.35018505827328616,4.581741452594892,0.20806952819876542,13.766965660048774,141117.44155298977,6408.532604544498,431588.9126333018
23,,,,0.2230102236517582,0.01012750992146069,0.6604053285503434,0.1116605434963011,0.005070813541985194,0.33677224281295803,0.23547258266171453,0.010693460048999352,0.7040454267322638,97.8805750215037,4.445027131117094,297.09432772285646
24,,,,1.4965312348369155,0.06796161485517255,4.482679681280097,0.14722827017584894,0.006686042202503526,0.4395219621446881,0.12431343611428179,0.005645416326671321,0.3748509443149542,10.499811431474418,0.4768254239849295,32.16141994870567
25,6746.047916646473,306.3566597429747,20423.564386696813,1.5597824423120337,0.07083402680454093,4.679392023078623,0.11952458544103635,0.005427941396995358,0.36355500896568876,0.7383270743216008,0.033529470748172606,2.2158326811406535,76.60025546066707,3.478629071175379,231.13434611878884
26,,,,0.15025717845279005,0.006823593289281576,0.4532940842369442,0.2175628254676452,0.009880128531260841,0.6480780472282248,0.8642331992725889,0.03924721547186276,2.5142636152256856,1.6676795614542472,0.07573393285690266,5.127115893401974
27,966.7984241563942,43.904985486163156,2888.7196745879555,0.2109494766434335,0.009579798103648375,0.6368403625006518,0.11024863602160133,0.005006694925699086,0.3306579003467249,0.10902043032476277,0.004950918714292067,0.3294106537753005,93.74437174906416,4.257190721678654,282.1570734802952
28,876.8613047857974,39.8206926056913,2623.6774113530955,0.15909413758157512,0.007224903999556755,0.4748537133201161,0.118049338184875,0.0053609463463706285,0.35493508658411316,0.8400637541469935,0.038149614244002025,2.5459530653569646,3601.381675981486,163.54868425863614,11003.309343494915
29,6401.799138150551,290.72337234215877,19201.57697951616,0.6099275134206718,0.027698492214354598,1.8269896676924713,0.7744215505615061,0.035168620560426904,2.3231964290076594,0.23014493649378592,0.010451516928454422,0.6904466794070483,2.3092085712147212,0.10486753626245592,7.062402374102083
