,0
0,0.9862139167327779
1,0.9857144563557181
2,0.9858232955678584
3,0.9859873829355418
4,0.9860841837007547
5,0.9859361670647278
6,0.9860709988297378
7,0.9863163322178099
8,0.9866451581426247
9,0.9862840757069077
10,0.9859582490855827
11,0.9858983147975882
12,0.9861248369669731
13,0.9858093868096968
14,0.9863031159364738
15,0.9862297495005744
16,0.9858181219786393
17,0.9863298711135222
18,0.9862049700826957
19,0.9865219526399469
20,0.9858244173318328
21,0.986003392380732
22,0.9856859338318251
23,0.9859909946002067
24,0.9861177691870164
25,0.9859659764633274
26,0.9859604701273714
27,0.9860718397946068
28,0.9864192429628509
29,0.985903836783428
30,0.986144531270008
31,0.9860380737379224
32,0.9864900616937368
33,0.9864204709885808
34,0.9861806289730187
35,0.9862394740654293
36,0.9857827456573174
37,0.9861921530414192
38,0.9863862022265802
39,0.986107760823219
40,0.9860009559800835
41,0.9862092938544227
42,0.9860042082020413
43,0.9863379262930477
44,0.986085621339938
45,0.9859573898260677
46,0.9860863536283538
47,0.9859038242818859
48,0.9862599352523838
49,0.9858957523839675
50,0.9858293400585265
51,0.9862081809020623
52,0.9861507727904687
53,0.9858935113824029
54,0.985919670199427
55,0.9860123615175818
56,0.9861322613322928
57,0.9860442068623912
58,0.9863732389851116
59,0.9858806089020921
60,0.9863605634672485
61,0.9861081945469313
62,0.9864159202193324
63,0.9864178172144733
64,0.9859555562444698
65,0.9860339072076729
66,0.9859162438600229
67,0.9865231705070527
68,0.9860657976091965
69,0.9860093511368302
70,0.9858080493682296
71,0.9861008830930753
72,0.9858171168535
73,0.9858732201577451
74,0.9861109479852177
75,0.9861757558364471
76,0.9857710473810107
77,0.986213345773882
78,0.9861316471541715
79,0.9859458846856819
80,0.9860299576948776
81,0.9862909387668074
82,0.9859171754895604
83,0.9860376394067649
84,0.985926174643812
85,0.9861466881268601
86,0.9858878841957752
87,0.9861027038149317
88,0.9861358084052969
89,0.9860035757799641
90,0.986176583682649
91,0.9858453980332926
92,0.9862429498952815
93,0.9861319506621663
94,0.9864044508511385
95,0.9859456330612912
96,0.9866009863572991
97,0.9863789187149454
98,0.9859799807779785
99,0.9863504721585866
