,w = 0.1,w = 0.3,w = 0.5,w = 0.7,w = 0.9
0,,0.0055490448224244865,0.0011764020395248966,0.010602227805286786,0.02639489627194939
1,0.006670873481302236,0.0002907772247153385,0.009290463734511133,0.009428649649077123,0.010314090034232937
2,0.002982069877773337,0.002528434116951788,0.013554642698991284,0.000323865086415984,0.013579715933941458
3,,0.004156566282686497,0.0028543775432023142,0.01083328211431091,0.01583695540695424
4,0.014026512895234685,0.006596748384555926,0.014363508641788422,0.00882990737001504,0.013036291362410494
5,0.000721943862082973,0.009251980223950641,0.007655507463306368,0.011659530964668766,0.018422736721312064
6,0.0009032179964333291,0.007796524715406205,0.013217268142115926,0.003346251541784993,0.004139645158057167
7,0.003217991284122382,0.0044277123277022944,0.009764149816402603,0.0030521892676492975,0.02129822301910171
8,0.007955794101326708,0.002553718095261834,0.011938494959550407,0.016508135232501994,0.007540282653202624
9,0.0024037594145783045,0.004115067383042583,0.005794157704648894,0.0030014377031173404,0.002891775758401022
10,0.001264743363015261,0.009573308455814084,0.009977369361598135,0.0032546421656675186,0.002906579784674854
11,0.0030316829980888463,0.004920269183108331,0.003263418433556812,0.0029079100487599155,0.014184668457984249
12,,0.004435724916495372,0.004507043602872191,0.006423082737388098,0.017286152236965197
13,0.00522094888892981,0.01177579795057638,0.0030602821836191512,0.012061668431582588,0.02639489627194939
14,,0.005114096127830219,0.0019816045376086933,0.014712264289831552,0.027002414249223967
15,0.007325517699558326,0.008174664353185365,0.008625399338297207,0.004023387788255016,0.03182725856641231
16,,0.012083278523516826,0.008030269506096442,0.002906146129844336,0.01684884465898888
17,,0.018394236223657025,0.00655446335903643,0.006845598760803225,0.002891775758401022
18,0.004331691466174151,0.0020441685474354154,0.002272284622060802,0.007480819991384999,60076035.86410978
19,0.010399300792023,0.013224396976032284,0.014431189041428616,0.013698941437974699,0.00979662139852665
20,0.0027836097519829345,0.0006129146553358681,0.016605732534230363,0.01651395693681271,0.005012101789915069
21,0.0060423847943756204,0.0025109961690671857,0.012696934402289597,0.005014728752283546,0.00227177443668572
22,0.0014949857596180238,0.007651055491801378,0.0043586301131662225,0.0015792370520098943,0.01908433635164001
23,,0.013060679603940797,0.005316983101393101,0.003369557080841512,0.01162123385124377
24,,0.0015423861891187118,0.004920910828448528,0.0050970552457872235,0.020583222237644378
25,0.00907875987005333,9.551698661043733e-06,0.013701510142168936,0.0003842610424053604,0.005769716873243335
26,,0.005564927860950162,0.007114003003849906,0.03119640363766719,0.024200195903296324
27,0.004041789857263486,0.006268341024548607,0.0002661594293885407,0.007132018269860598,0.0032746236757635262
28,0.002632375068067059,0.005114626581791088,0.002217509790488599,0.010118726565123085,0.018100401373174313
29,0.00019896464439188367,0.0015286745288885736,2.9365866788995483e-05,1.7191661636741097e-05,0.019083684746163374
