,0
0,0.035746319990857284
1,0.0008120680163391378
2,0.008424716859470365
3,0.019901642180816734
4,0.026672274003864422
5,0.016319399788244003
6,0.025750071507920014
7,0.04290966772478066
8,0.06590906515616282
9,0.0406535186258116
10,0.017863904449856027
11,0.013671861166986024
12,0.02951572567869492
13,0.0074518828077914
14,0.04198526826574338
15,0.03685372695456031
16,0.008062855383183468
17,0.04385663212074239
18,0.03512055558058537
19,0.05729158062110226
20,0.008503177508486587
21,0.02102140666651858
22,0.0011829111299380688
23,0.02015425642059457
24,0.02902137694304985
25,0.018404388087055457
26,0.018019252976098618
27,0.025808891946900378
28,0.050107655920176006
29,0.014058090893281984
30,0.03089322382726165
31,0.023447159191749577
32,0.05506100057555794
33,0.050193548940424465
34,0.0334180412314044
35,0.0375339018284663
36,0.005588494293190949
37,0.03422408056458035
38,0.04779665496931628
39,0.028321352038556093
40,0.020850995082187723
41,0.03542297743010537
42,0.02107846846459938
43,0.04442004352267603
44,0.026772828225559618
45,0.01780380441031822
46,0.026824047399702174
47,0.014057216485538317
48,0.0389650388987742
49,0.013492635732500377
50,0.00884749265862445
51,0.03534513310055071
52,0.03132978067639775
53,0.013335891139867558
54,0.015165543194862253
55,0.021648743891039275
56,0.030035015417663635
57,0.02387613439263943
58,0.04688995412843214
59,0.012433440176839233
60,0.04600337782472496
61,0.028351688405855488
62,0.049875249978382344
63,0.05000793338889254
64,0.017675556396064267
65,0.023155735438682018
66,0.014925891343404368
67,0.05737676310663334
68,0.025386277386679004
69,0.02143818584771941
70,0.007358336814243955
71,0.027840296145251207
72,0.00799255291977159
73,0.011916641910864398
74,0.02854427486778175
75,0.03307719461229567
76,0.004770270163837177
77,0.03570638484714052
78,0.029992057348848453
79,0.016999088978015373
80,0.02287949075239758
81,0.04113354842369087
82,0.014991053231127715
83,0.023416780337302805
84,0.015620489992522812
85,0.03104408300289686
86,0.01294230325064847
87,0.02796764469786313
88,0.030283111858929283
89,0.021034234340709838
90,0.033135097479356175
91,0.009970651496538573
92,0.037777015239362256
93,0.030013285909225286
94,0.04907303659594103
95,0.016981489363981618
96,0.06281951421358477
97,0.04728721709917272
98,0.019383905740964262
99,0.04529755142540243
