,w = 0.1,w = 0.3,w = 0.5,w = 0.7,w = 0.9
0,,0.9847784139501203,0.9848446052102364,0.9850229052430948,0.9852619681344179
1,0.9849633940253743,0.9848668147638491,0.9850030483004788,0.9850051401017692,0.9850185435325458
2,0.9848172717564194,0.9849006874895114,0.9850675976801179,0.984857510562451,0.9850679772283909
3,,0.9847994927150244,0.9848192047102307,0.9850264028477766,0.9851021463870715
4,0.9850747406562199,0.9847625542464015,0.9850798419586189,0.9849960765884883,0.9846650751049671
5,0.9848733415862913,0.9850024657529934,0.9847465271888389,0.9846859159351307,0.9851412888764262
6,0.9848760856392532,0.9849804336687514,0.9846623355532371,0.9848117589248324,0.984799748860019
7,0.9849111257210532,0.9849294379784772,0.9847146074319744,0.9849086158786203,0.9851848168001436
8,0.9849828446229215,0.9849010702279304,0.9846816930934158,0.9851123064300074,0.984976554782267
9,0.9848260259813121,0.984924705288458,0.984950122664117,0.9848169785742802,0.9848186385914981
10,0.9848432679357751,0.9850073298870273,0.9850134463941022,0.9849116805269577,0.9848184144942639
11,0.984908305463183,0.9847879320960021,0.9849118133784754,0.9848183943572756,0.985077134749795
12,,0.9849295592697364,0.9847941873341329,0.9847651831252272,0.9846007424666586
13,0.9849414456658563,0.9850406702631542,0.984816087810843,0.985044997652403,0.9852619681344179
14,,0.9847849980237825,0.9848324163874482,0.9850851212775485,0.9852711644905933
15,0.9849733037591177,0.9847386684063028,0.9849929808303861,0.9848015087160572,0.9853442009907316
16,,0.9846795014196343,0.9847408541958488,0.9849064051379305,0.9846073622481231
17,,0.9851408574476663,0.9847631943396499,0.9849660389444765,0.9848186385914981
18,0.9849279844543414,0.9848314693193125,0.9848968100042728,0.9849756546610563,909405.2287377306
19,0.9850198334177968,0.9846622276398943,0.9850808664765499,0.9850697820148191,0.9850107103061039
20,0.9849045502328619,0.9848531350494825,0.9851137838176437,0.9846124316401198,0.9849382842247458
21,0.9847709459734227,0.9849004235210601,0.9850546140462403,0.984938323990617,0.9848968022812974
22,0.984885043575194,0.9847465945809445,0.9847964339562307,0.9848863189364542,0.9851513038983245
23,,0.9846647059258415,0.984942899392093,0.9848114061352096,0.9850383305356687
24,,0.9848390650933673,0.98478792238304,0.9849395702150667,0.9851739934136795
25,0.9849998436148333,0.9848625576880095,0.985069820898802,0.9848682298832634,0.9849497526889076
26,,0.9849466526774376,0.9847547242596515,0.9843901748272567,0.9852287456668644
27,0.9848012301531384,0.9849573006553293,0.9848583840868489,0.9849703746446853,0.984911982998803
28,0.9848225652919903,0.9847849899939896,0.9848959808454998,0.9850155862010547,0.9851364094970824
29,0.9848594012537462,0.9848392726548156,0.9848619685699807,0.984862673338613,0.9851512940345899
